cityId,speciesId,month,midmonthProposal,availableDays,daysInMonth,availableDayMean,status,confidence,productionReady
ludington_mi,lake_trout,1,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,2,,0,28,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,3,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,4,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,5,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,6,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,7,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,8,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,9,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,10,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,11,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,lake_trout,12,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,1,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,2,,0,28,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,3,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,4,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,5,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,6,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,7,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,8,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,9,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,10,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,11,,0,30,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,walleye,12,,0,31,,unavailable_evidence_gap,insufficient_for_numeric_calibration,false
ludington_mi,smallmouth_bass,1,,0,31,,unavailable_evidence_gap,low,false
ludington_mi,smallmouth_bass,2,,0,28,,unavailable_evidence_gap,low,false
ludington_mi,smallmouth_bass,3,,0,31,,unavailable_evidence_gap,low,false
ludington_mi,smallmouth_bass,4,,0,30,,unavailable_evidence_gap,low,false
