cityId,speciesId,peakScore,firstPeakDate,activeModeId,fisheryStrength,regulationStatus
chicago_il,chinook_salmon,7,2028-09-05,fall_harbor_staging,7,open
chicago_il,coho_salmon,8.2,2028-04-20,spring_nearshore,8.2,open
chicago_il,steelhead,6.5,2028-04-15,winter_spring_pier,6.5,open
chicago_il,brown_trout,6.2,2028-04-10,winter_spring_nearshore,6.2,open
chicago_il,lake_trout,5.4,2028-02-15,winter_nearshore,5.4,open
chicago_il,smallmouth_bass,6.5,2028-07-20,warm_season_harbor,6.5,open
chicago_il,freshwater_drum,5.6,2028-07-15,warm_season_harbor,5.6,open
chicago_il,yellow_perch,8.4,2028-02-01,winter_navy_pier_schooling,8.4,open
chicago_il,northern_pike,4.7,2028-05-01,spring_harbor,4.7,open
michigan_city_in,chinook_salmon,7.4,2028-09-05,fall_harbor_staging,7.4,open
michigan_city_in,coho_salmon,8.7,2028-04-20,spring_nearshore,8.7,open
michigan_city_in,steelhead,8.5,2028-07-15,summer_skamania_pier,8.5,open
michigan_city_in,brown_trout,6,2028-04-10,winter_spring_nearshore,6,open
michigan_city_in,smallmouth_bass,5.7,2028-07-20,warm_season_harbor,5.7,open
michigan_city_in,yellow_perch,6.2,2028-07-20,summer_pier_schooling,6.2,open
michigan_city_in,largemouth_bass,5.5,2028-08-15,warm_season_harbor,5.5,open
michigan_city_in,bluegill,5.2,2028-08-15,warm_season_harbor,5.2,open
muskegon_mi,chinook_salmon,6.5,2028-09-05,fall_harbor_staging,6.5,open
muskegon_mi,coho_salmon,6.4,2028-04-15,spring_nearshore,6.4,open
muskegon_mi,steelhead,8,2028-04-15,winter_spring_pier,8,open
muskegon_mi,brown_trout,7,2028-04-10,winter_spring_nearshore,7,open
muskegon_mi,walleye,6.4,2028-05-15,spring_low_light,6.4,open
muskegon_mi,smallmouth_bass,6.6,2028-07-20,warm_season_harbor,6.6,open
muskegon_mi,freshwater_drum,6.2,2028-07-15,warm_season_harbor,6.2,open
muskegon_mi,yellow_perch,5.2,2028-04-20,spring_channel_schooling,5.2,open
muskegon_mi,lake_whitefish,4,2028-11-15,late_fall_channel,4,open
muskegon_mi,channel_catfish,6,2028-08-20,warm_season_channel,6,open
muskegon_mi,largemouth_bass,6.5,2028-08-15,warm_season_harbor,6.5,open
muskegon_mi,northern_pike,4.8,2028-05-01,spring_harbor,4.8,open
muskegon_mi,white_perch,5.7,2028-08-20,warm_season_schooling,5.7,open
muskegon_mi,bluegill,6,2028-08-15,warm_season_harbor,6,open
whitehall_mi,chinook_salmon,9.3,2028-09-05,fall_harbor_staging,9.3,open
whitehall_mi,coho_salmon,7.4,2028-10-05,fall_harbor_return,7.4,open
whitehall_mi,steelhead,8.7,2028-04-15,winter_spring_pier,8.7,open
whitehall_mi,brown_trout,7.7,2028-04-10,winter_spring_nearshore,7.7,open
whitehall_mi,walleye,5.8,2028-08-15,summer_low_light,5.8,open
whitehall_mi,smallmouth_bass,6.3,2028-07-20,warm_season_harbor,6.3,open
whitehall_mi,freshwater_drum,5.6,2028-07-15,warm_season_harbor,5.6,open
whitehall_mi,yellow_perch,8,2028-07-20,summer_channel_schooling,8,open
whitehall_mi,lake_whitefish,4,2028-11-15,late_fall_channel,4,open
whitehall_mi,channel_catfish,5,2028-08-20,warm_season_channel,5,open
whitehall_mi,largemouth_bass,7.1,2028-08-15,warm_season_harbor,7.1,open
whitehall_mi,northern_pike,4.9,2028-05-01,spring_harbor,4.9,open
whitehall_mi,bluegill,5.2,2028-08-15,warm_season_harbor,5.2,open
alpena_mi,chinook_salmon,5.4,2028-10-05,fall_harbor_staging,5.4,open
alpena_mi,coho_salmon,6.5,2028-10-10,fall_harbor_return,6.5,open
alpena_mi,steelhead,5.8,2028-04-25,spring_harbor,5.8,open
alpena_mi,brown_trout,5.4,2028-04-10,winter_spring_nearshore,5.4,open
alpena_mi,lake_trout,5,2028-08-15,summer_early_fall_nearshore,5,open
alpena_mi,walleye,7.4,2028-05-15,spring_low_light,7.4,open
alpena_mi,smallmouth_bass,8,2028-07-20,warm_season_harbor,8,open
alpena_mi,freshwater_drum,4.2,2028-07-15,warm_season_harbor,4.2,open
alpena_mi,yellow_perch,7.6,2028-10-10,fall_harbor_schooling,7.6,open
alpena_mi,atlantic_salmon,7.2,2028-04-25,winter_spring_nearshore,7.2,open
alpena_mi,northern_pike,5.5,2028-05-01,spring_harbor,5.5,open
